Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-08,,,
Horizontal Delay,0,,,
Sample Interval,4e-10,,,
Record Length,1000,,,
Gating,0.1% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,0.2,0.2,0.2
Vertical Position,2.92,1.1,-0.76,-2.4
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.492e-07,-0.04,0.012,0.008,0.008
-1.488e-07,0,0.004,0.016,0
-1.484e-07,0,-0.004,0.016,0.008
-1.480e-07,-0.04,0.004,0.024,0
-1.476e-07,-0.04,-0.004,0.024,-0.008
-1.472e-07,0,0.004,0,0
-1.468e-07,0,0.004,0,0.008
-1.464e-07,0,0.012,0.008,0
-1.460e-07,-0.04,0.004,0.008,0
-1.456e-07,-0.04,-0.004,0.016,0
-1.452e-07,-0.04,0.012,0.016,0.008
-1.448e-07,0,0.004,0.008,0.008
-1.444e-07,-0.04,-0.012,0.008,0.008
-1.440e-07,-0.04,-0.012,0.008,0
-1.436e-07,-0.04,-0.004,0.016,-0.008
-1.432e-07,-0.04,-0.004,0.016,-0.008
-1.428e-07,0,0.004,0.016,0
-1.424e-07,0,0.004,0.008,0
-1.420e-07,0,-0.012,0.008,0
-1.416e-07,0,-0.004,0.008,0.008
-1.412e-07,0,0.004,0.008,0
-1.408e-07,-0.04,-0.004,0.008,0.008
-1.404e-07,-0.04,-0.004,0.008,0.008
-1.400e-07,-0.04,0.004,0.016,0.016
-1.396e-07,0,-0.004,0.016,0.008
-1.392e-07,0,-0.004,0.008,0.008
-1.388e-07,0,0.004,0.008,0
-1.384e-07,0,-0.004,0.008,0
-1.380e-07,-0.04,-0.012,0.008,0
-1.376e-07,-0.04,-0.004,0.008,-0.008
-1.372e-07,0,-0.004,0,-0.008
-1.368e-07,0,-0.012,0.008,0.008
-1.364e-07,0,-0.012,0.008,0
-1.360e-07,-0.04,-0.012,0.008,0
-1.356e-07,0,-0.012,0,0
-1.352e-07,-0.04,-0.012,0.008,0
-1.348e-07,-0.04,-0.012,0,-0.008
-1.344e-07,-0.04,-0.004,0,-0.008
-1.340e-07,-0.04,-0.012,0.008,0.008
-1.336e-07,-0.04,-0.004,0.008,-0.008
-1.332e-07,-0.04,0.004,-0.008,-0.016
-1.328e-07,-0.04,0.004,-0.008,-0.008
-1.324e-07,-0.04,0.012,0.008,0.008
-1.320e-07,-0.04,0.012,0,0.008
-1.316e-07,0,0.004,0,0
-1.312e-07,-0.04,0.012,0.008,-0.008
-1.308e-07,-0.08,0.004,0.008,0
-1.304e-07,0,0.004,0.008,0.008
-1.300e-07,-0.04,0.004,0.008,0
-1.296e-07,0,-0.004,0.008,0
-1.292e-07,0,-0.012,0,0.008
-1.288e-07,-0.04,-0.004,0.008,0
-1.284e-07,0,0.004,0,-0.008
-1.280e-07,-0.04,-0.012,0.008,-0.016
-1.276e-07,-0.04,-0.012,0.016,-0.016
-1.272e-07,0,-0.02,0.008,-0.016
-1.268e-07,-0.04,-0.012,0,-0.008
-1.264e-07,-0.04,-0.02,0,-0.008
-1.260e-07,-0.04,-0.012,0,-0.008
-1.256e-07,-0.04,-0.012,-0.008,-0.008
-1.252e-07,0,-0.012,0,0.008
-1.248e-07,-0.04,-0.02,0,0.008
-1.244e-07,-0.04,-0.028,0,0
-1.240e-07,-0.04,-0.028,-0.008,-0.008
-1.236e-07,0,-0.012,0,0
-1.232e-07,-0.04,-0.004,0.008,0
-1.228e-07,-0.04,0.012,0.016,0.016
-1.224e-07,0,0.004,0.024,0.016
-1.220e-07,0,0.012,0.016,0.008
-1.216e-07,0,0.012,0.008,0.008
-1.212e-07,0,0.004,0.016,0.008
-1.208e-07,0,0.02,0.016,0.008
-1.204e-07,-0.04,0.012,0.016,0.016
-1.200e-07,0,0.02,0.016,0.016
-1.196e-07,0,0.02,0.016,0.008
-1.192e-07,0,0.012,0.016,0.008
-1.188e-07,-0.04,0.004,0.016,0.008
-1.184e-07,-0.04,0.004,0.008,0
-1.180e-07,-0.04,-0.004,0.008,-0.008
-1.176e-07,-0.04,-0.004,0.016,-0.016
-1.172e-07,-0.04,-0.004,0.016,-0.016
-1.168e-07,0,-0.004,0.016,0
-1.164e-07,-0.04,-0.004,0.008,0.008
-1.160e-07,0,0.004,0.008,0.008
-1.156e-07,0,0.004,0.008,0
-1.152e-07,0,-0.004,0.008,0
-1.148e-07,-0.04,-0.004,0.016,0.008
-1.144e-07,0,-0.012,0.016,0.008
-1.140e-07,0,-0.012,0.008,0.008
-1.136e-07,-0.04,-0.004,0.008,0.008
-1.132e-07,-0.04,-0.004,0,0
-1.128e-07,-0.04,-0.004,0,0
-1.124e-07,-0.04,-0.012,0.016,0
-1.120e-07,-0.04,0.004,0.016,-0.008
-1.116e-07,-0.04,-0.004,0.016,0
-1.112e-07,0,0.004,0.016,0
-1.108e-07,0,0.004,0.008,0
